Player,Age,GP,GS,MP,TRB,AST,STL,BLK,PTS
Giannis Antetokounmpo,25,63,63,1917,856,354,61,66,1857
Khris Middleton,28,62,59,1853,382,265,53,7,1297
Brook Lopez,31,68,67,1817,312,99,46,163,813
Eric Bledsoe,30,61,61,1646,282,328,57,26,911
Wesley Matthews,33,67,67,1635,166,92,38,9,494
Donte DiVincenzo,23,66,24,1520,318,154,85,20,610
George Hill,33,59,2,1271,177,180,47,5,554
Pat Connaughton,27,67,4,1243,284,107,25,31,360
Ersan Ilyasova,32,63,8,986,302,49,24,17,414
Kyle Korver,38,58,1,960,122,68,26,12,386
Robin Lopez,31,66,5,958,161,45,10,45,357
Sterling Brown,24,52,1,767,183,51,29,7,266
D.J. Wilson,23,37,1,363,92,25,3,5,133
Marvin Williams,33,17,0,321,74,19,10,8,68
Thanasis Antetokounmpo,27,20,2,129,24,15,7,2,55
Frank Mason,25,9,0,118,19,29,5,1,62
Dragan Bender,22,7,0,91,20,9,0,5,26
